id,field,gt,pred
10182,evidence_status,Yes,No
10187,evidence_status,Yes,No
10188,evidence_status,No,Yes
10190,evidence_status,No,Yes
10194,evidence_status,Yes,No
10200,evidence_status,No,Yes
10210,evidence_status,Yes,No
10220,evidence_status,Yes,No
10236,evidence_status,Yes,No
10240,evidence_status,No,Yes
10244,evidence_status,Yes,No
10258,evidence_status,No,Yes
10269,evidence_status,No,Yes
10278,evidence_status,Yes,No
10282,evidence_status,No,Yes
10291,evidence_status,Yes,No
10297,evidence_status,No,Yes
10301,evidence_status,No,Yes
10303,evidence_status,Yes,No
10305,evidence_status,Yes,No
10310,evidence_status,Yes,No
10329,evidence_status,No,Yes
10335,evidence_status,Yes,No
10343,evidence_status,No,Yes
10345,evidence_status,Yes,No
10356,evidence_status,Yes,No
10360,evidence_status,Yes,No
10366,evidence_status,Yes,No
10374,evidence_status,Yes,No
10378,evidence_status,No,Yes
10382,evidence_status,Yes,No
10384,evidence_status,Yes,No
10387,evidence_status,No,Yes
10392,evidence_status,Yes,No
10396,evidence_status,No,Yes
10419,evidence_status,Yes,No
10422,evidence_status,No,Yes
10432,evidence_status,Yes,No
10435,evidence_status,No,Yes
10436,evidence_status,No,Yes
10440,evidence_status,Yes,No
10441,evidence_status,No,Yes
10442,evidence_status,Yes,No
10471,evidence_status,No,Yes
10485,evidence_status,No,Yes
10495,evidence_status,Yes,No
10507,evidence_status,Yes,No
10511,evidence_status,Yes,No
10518,evidence_status,No,Yes
10526,evidence_status,Yes,No
10529,evidence_status,Yes,No
10538,evidence_status,Yes,No
10550,evidence_status,No,Yes
10555,evidence_status,No,Yes
10562,evidence_status,No,Yes
10564,evidence_status,Yes,No
10566,evidence_status,Yes,No
10575,evidence_status,Yes,No
10583,evidence_status,No,Yes
10597,evidence_status,No,Yes
10598,evidence_status,No,Yes
10626,evidence_status,No,Yes
10630,evidence_status,Yes,No
10631,evidence_status,Yes,No
10633,evidence_status,No,Yes
10635,evidence_status,No,Yes
10641,evidence_status,Yes,No
10644,evidence_status,No,Yes
10645,evidence_status,Yes,No
10648,evidence_status,Yes,No
10655,evidence_status,Yes,No
10659,evidence_status,Yes,No
10661,evidence_status,Yes,No
10673,evidence_status,Yes,No
10685,evidence_status,Yes,No
10693,evidence_status,Yes,No
10697,evidence_status,Yes,No
10698,evidence_status,No,Yes
10699,evidence_status,No,Yes
10703,evidence_status,Yes,No
10705,evidence_status,No,Yes
10706,evidence_status,No,Yes
10725,evidence_status,Yes,No
10726,evidence_status,Yes,No
10728,evidence_status,Yes,No
10729,evidence_status,Yes,No
10730,evidence_status,Yes,No
10734,evidence_status,Yes,No
10737,evidence_status,Yes,No
10740,evidence_status,Yes,No
10745,evidence_status,Yes,No
10756,evidence_status,No,Yes
10759,evidence_status,Yes,No
10762,evidence_status,Yes,No
10771,evidence_status,Yes,No
10772,evidence_status,No,Yes
10775,evidence_status,Yes,No
10777,evidence_status,Yes,No
10791,evidence_status,No,Yes
10794,evidence_status,Yes,No
10812,evidence_status,No,Yes
10813,evidence_status,Yes,No
10814,evidence_status,Yes,No
10820,evidence_status,Yes,No
10831,evidence_status,Yes,No
10841,evidence_status,Yes,No
10845,evidence_status,No,Yes
10853,evidence_status,Yes,No
10854,evidence_status,Yes,No
10865,evidence_status,Yes,No
10872,evidence_status,Yes,No
10873,evidence_status,Yes,No
10874,evidence_status,No,Yes
10876,evidence_status,Yes,No
10882,evidence_status,Yes,No
10883,evidence_status,Yes,No
10898,evidence_status,Yes,No
10913,evidence_status,Yes,No
10915,evidence_status,No,Yes
10927,evidence_status,No,Yes
10932,evidence_status,Yes,No
10948,evidence_status,No,Yes
10950,evidence_status,Yes,No
10953,evidence_status,Yes,No
10954,evidence_status,Yes,No
10960,evidence_status,Yes,No
10975,evidence_status,Yes,No
10978,evidence_status,Yes,No
10995,evidence_status,Yes,No
10997,evidence_status,Yes,No
10998,evidence_status,Yes,No
10014,evidence_quality,Not Clear,Clear
10015,evidence_quality,Not Clear,Clear
10016,evidence_quality,Not Clear,Clear
10017,evidence_quality,Misleading,N/A
10020,evidence_quality,Not Clear,Clear
10024,evidence_quality,Not Clear,Clear
10025,evidence_quality,Clear,N/A
10035,evidence_quality,Clear,N/A
10042,evidence_quality,Not Clear,Clear
10045,evidence_quality,Clear,N/A
10046,evidence_quality,Clear,N/A
10052,evidence_quality,Not Clear,Clear
10053,evidence_quality,Not Clear,N/A
10057,evidence_quality,Not Clear,Clear
10060,evidence_quality,Clear,N/A
10062,evidence_quality,Not Clear,Clear
10064,evidence_quality,Not Clear,Clear
10071,evidence_quality,Not Clear,N/A
10072,evidence_quality,Clear,N/A
10076,evidence_quality,Not Clear,Clear
10077,evidence_quality,Not Clear,Clear
10080,evidence_quality,Not Clear,Clear
10086,evidence_quality,Clear,N/A
10088,evidence_quality,Not Clear,Clear
10090,evidence_quality,Not Clear,Clear
10094,evidence_quality,Clear,N/A
10096,evidence_quality,Not Clear,Clear
10101,evidence_quality,Not Clear,Clear
10105,evidence_quality,Clear,N/A
10115,evidence_quality,Not Clear,N/A
10129,evidence_quality,Not Clear,Clear
10135,evidence_quality,Not Clear,Clear
10149,evidence_quality,Clear,N/A
10154,evidence_quality,Clear,N/A
10159,evidence_quality,Not Clear,Clear
10161,evidence_quality,Not Clear,N/A
10164,evidence_quality,Clear,N/A
10165,evidence_quality,Clear,N/A
10170,evidence_quality,Not Clear,N/A
10179,evidence_quality,Not Clear,Clear
10182,evidence_quality,Not Clear,N/A
10186,evidence_quality,Not Clear,Clear
10187,evidence_quality,Clear,N/A
10194,evidence_quality,Clear,N/A
10208,evidence_quality,Not Clear,Clear
10210,evidence_quality,Not Clear,N/A
10220,evidence_quality,Clear,N/A
10225,evidence_quality,Not Clear,Clear
10226,evidence_quality,Not Clear,Clear
10229,evidence_quality,Not Clear,Clear
10236,evidence_quality,Not Clear,N/A
10237,evidence_quality,Not Clear,Clear
10244,evidence_quality,Clear,N/A
10251,evidence_quality,Not Clear,Clear
10260,evidence_quality,Not Clear,Clear
10275,evidence_quality,Not Clear,Clear
10278,evidence_quality,Clear,N/A
10290,evidence_quality,Not Clear,Clear
10291,evidence_quality,Clear,N/A
10292,evidence_quality,Not Clear,Clear
10303,evidence_quality,Not Clear,N/A
10305,evidence_quality,Clear,N/A
10310,evidence_quality,Clear,N/A
10319,evidence_quality,Not Clear,Clear
10320,evidence_quality,Not Clear,Clear
10321,evidence_quality,Not Clear,Clear
10334,evidence_quality,Not Clear,Clear
10335,evidence_quality,Clear,N/A
10345,evidence_quality,Clear,N/A
10356,evidence_quality,Not Clear,N/A
10360,evidence_quality,Not Clear,N/A
10366,evidence_quality,Not Clear,N/A
10374,evidence_quality,Clear,N/A
10382,evidence_quality,Not Clear,N/A
10384,evidence_quality,Clear,N/A
10392,evidence_quality,Clear,N/A
10419,evidence_quality,Not Clear,N/A
10432,evidence_quality,Clear,N/A
10440,evidence_quality,Not Clear,N/A
10442,evidence_quality,Not Clear,N/A
10451,evidence_quality,Not Clear,Clear
10457,evidence_quality,Not Clear,Clear
10495,evidence_quality,Not Clear,N/A
10502,evidence_quality,Not Clear,Clear
10507,evidence_quality,Not Clear,N/A
10509,evidence_quality,Not Clear,Clear
10511,evidence_quality,Clear,N/A
10512,evidence_quality,Not Clear,Clear
10522,evidence_quality,Not Clear,Clear
10526,evidence_quality,Clear,N/A
10529,evidence_quality,Clear,N/A
10532,evidence_quality,Not Clear,Clear
10533,evidence_quality,Not Clear,Clear
10538,evidence_quality,Clear,N/A
10564,evidence_quality,Clear,N/A
10566,evidence_quality,Not Clear,N/A
10575,evidence_quality,Not Clear,N/A
10576,evidence_quality,Not Clear,Clear
10580,evidence_quality,Not Clear,Clear
10585,evidence_quality,Not Clear,Clear
10593,evidence_quality,Not Clear,Clear
10608,evidence_quality,Not Clear,Clear
10614,evidence_quality,Not Clear,Clear
10630,evidence_quality,Not Clear,N/A
10631,evidence_quality,Clear,N/A
10641,evidence_quality,Not Clear,N/A
10645,evidence_quality,Not Clear,N/A
10648,evidence_quality,Not Clear,N/A
10655,evidence_quality,Clear,N/A
10656,evidence_quality,Not Clear,Clear
10659,evidence_quality,Not Clear,N/A
10661,evidence_quality,Not Clear,N/A
10664,evidence_quality,Not Clear,Clear
10669,evidence_quality,Not Clear,Clear
10673,evidence_quality,Not Clear,N/A
10676,evidence_quality,Not Clear,Clear
10683,evidence_quality,Not Clear,Clear
10684,evidence_quality,Not Clear,Clear
10685,evidence_quality,Clear,N/A
10693,evidence_quality,Clear,N/A
10697,evidence_quality,Clear,N/A
10703,evidence_quality,Not Clear,N/A
10710,evidence_quality,Not Clear,Clear
10725,evidence_quality,Clear,N/A
10726,evidence_quality,Not Clear,N/A
10728,evidence_quality,Clear,N/A
10729,evidence_quality,Not Clear,N/A
10730,evidence_quality,Not Clear,N/A
10734,evidence_quality,Clear,N/A
10737,evidence_quality,Not Clear,N/A
10738,evidence_quality,Not Clear,Clear
10740,evidence_quality,Not Clear,N/A
10743,evidence_quality,Not Clear,Clear
10745,evidence_quality,Clear,N/A
10749,evidence_quality,Not Clear,Clear
10759,evidence_quality,Clear,N/A
10762,evidence_quality,Not Clear,N/A
10766,evidence_quality,Clear,Not Clear
10771,evidence_quality,Clear,N/A
10774,evidence_quality,Not Clear,Clear
10775,evidence_quality,Clear,N/A
10777,evidence_quality,Clear,N/A
10787,evidence_quality,Not Clear,Clear
10794,evidence_quality,Clear,N/A
10813,evidence_quality,Clear,N/A
10814,evidence_quality,Clear,N/A
10815,evidence_quality,Not Clear,Clear
10820,evidence_quality,Not Clear,N/A
10831,evidence_quality,Clear,N/A
10836,evidence_quality,Not Clear,Clear
10841,evidence_quality,Clear,N/A
10842,evidence_quality,Not Clear,Clear
10844,evidence_quality,Not Clear,Clear
10853,evidence_quality,Clear,N/A
10854,evidence_quality,Clear,N/A
10865,evidence_quality,Not Clear,N/A
10871,evidence_quality,Not Clear,Clear
10872,evidence_quality,Clear,N/A
10873,evidence_quality,Not Clear,N/A
10876,evidence_quality,Clear,N/A
10882,evidence_quality,Clear,N/A
10883,evidence_quality,Not Clear,N/A
10888,evidence_quality,Not Clear,Clear
10895,evidence_quality,Not Clear,Clear
10898,evidence_quality,Not Clear,N/A
10912,evidence_quality,Not Clear,Clear
10913,evidence_quality,Not Clear,N/A
10923,evidence_quality,Not Clear,Clear
10932,evidence_quality,Clear,N/A
10933,evidence_quality,Not Clear,Clear
10935,evidence_quality,Not Clear,Clear
10950,evidence_quality,Clear,N/A
10953,evidence_quality,Not Clear,N/A
10954,evidence_quality,Clear,N/A
10960,evidence_quality,Not Clear,N/A
10965,evidence_quality,Not Clear,Clear
10975,evidence_quality,Not Clear,N/A
10978,evidence_quality,Clear,N/A
10989,evidence_quality,Not Clear,Clear
10995,evidence_quality,Clear,N/A
10997,evidence_quality,Not Clear,N/A
10998,evidence_quality,Clear,N/A
10014,verification_timeline,longer_than_5_years,between_2_and_5_years
10016,verification_timeline,longer_than_5_years,within_2_years
10018,verification_timeline,longer_than_5_years,between_2_and_5_years
10019,verification_timeline,longer_than_5_years,already
10020,verification_timeline,longer_than_5_years,between_2_and_5_years
10028,verification_timeline,already,between_2_and_5_years
10031,verification_timeline,longer_than_5_years,between_2_and_5_years
10033,verification_timeline,already,longer_than_5_years
10034,verification_timeline,already,between_2_and_5_years
10038,verification_timeline,already,N/A
10039,verification_timeline,longer_than_5_years,between_2_and_5_years
10045,verification_timeline,already,between_2_and_5_years
10047,verification_timeline,already,between_2_and_5_years
10048,verification_timeline,longer_than_5_years,between_2_and_5_years
10049,verification_timeline,already,between_2_and_5_years
10050,verification_timeline,longer_than_5_years,between_2_and_5_years
10052,verification_timeline,longer_than_5_years,within_2_years
10053,verification_timeline,between_2_and_5_years,already
10061,verification_timeline,longer_than_5_years,between_2_and_5_years
10062,verification_timeline,between_2_and_5_years,already
10065,verification_timeline,already,between_2_and_5_years
10067,verification_timeline,longer_than_5_years,already
10077,verification_timeline,already,between_2_and_5_years
10078,verification_timeline,longer_than_5_years,already
10080,verification_timeline,longer_than_5_years,between_2_and_5_years
10087,verification_timeline,longer_than_5_years,between_2_and_5_years
10089,verification_timeline,between_2_and_5_years,within_2_years
10090,verification_timeline,between_2_and_5_years,already
10091,verification_timeline,longer_than_5_years,already
10092,verification_timeline,longer_than_5_years,already
10095,verification_timeline,longer_than_5_years,already
10096,verification_timeline,longer_than_5_years,already
10099,verification_timeline,longer_than_5_years,between_2_and_5_years
10100,verification_timeline,longer_than_5_years,between_2_and_5_years
10101,verification_timeline,longer_than_5_years,between_2_and_5_years
10103,verification_timeline,between_2_and_5_years,already
10112,verification_timeline,longer_than_5_years,already
10114,verification_timeline,between_2_and_5_years,already
10117,verification_timeline,longer_than_5_years,between_2_and_5_years
10119,verification_timeline,already,between_2_and_5_years
10120,verification_timeline,already,between_2_and_5_years
10122,verification_timeline,longer_than_5_years,between_2_and_5_years
10126,verification_timeline,already,between_2_and_5_years
10129,verification_timeline,longer_than_5_years,already
10135,verification_timeline,already,between_2_and_5_years
10136,verification_timeline,longer_than_5_years,between_2_and_5_years
10137,verification_timeline,longer_than_5_years,between_2_and_5_years
10141,verification_timeline,already,longer_than_5_years
10143,verification_timeline,already,between_2_and_5_years
10144,verification_timeline,already,between_2_and_5_years
10146,verification_timeline,between_2_and_5_years,already
10147,verification_timeline,between_2_and_5_years,already
10148,verification_timeline,longer_than_5_years,between_2_and_5_years
10149,verification_timeline,already,between_2_and_5_years
10151,verification_timeline,already,between_2_and_5_years
10152,verification_timeline,longer_than_5_years,between_2_and_5_years
10154,verification_timeline,already,between_2_and_5_years
10155,verification_timeline,longer_than_5_years,between_2_and_5_years
10158,verification_timeline,already,between_2_and_5_years
10159,verification_timeline,already,between_2_and_5_years
10160,verification_timeline,longer_than_5_years,already
10162,verification_timeline,longer_than_5_years,already
10164,verification_timeline,longer_than_5_years,N/A
10165,verification_timeline,already,N/A
10166,verification_timeline,longer_than_5_years,between_2_and_5_years
10168,verification_timeline,already,between_2_and_5_years
10170,verification_timeline,already,between_2_and_5_years
10175,verification_timeline,longer_than_5_years,between_2_and_5_years
10176,verification_timeline,longer_than_5_years,between_2_and_5_years
10184,verification_timeline,already,between_2_and_5_years
10192,verification_timeline,longer_than_5_years,between_2_and_5_years
10194,verification_timeline,longer_than_5_years,between_2_and_5_years
10199,verification_timeline,longer_than_5_years,between_2_and_5_years
10200,verification_timeline,already,between_2_and_5_years
10206,verification_timeline,longer_than_5_years,already
10207,verification_timeline,already,between_2_and_5_years
10208,verification_timeline,longer_than_5_years,between_2_and_5_years
10210,verification_timeline,longer_than_5_years,already
10211,verification_timeline,longer_than_5_years,already
10212,verification_timeline,already,between_2_and_5_years
10213,verification_timeline,longer_than_5_years,between_2_and_5_years
10220,verification_timeline,longer_than_5_years,between_2_and_5_years
10222,verification_timeline,already,between_2_and_5_years
10224,verification_timeline,already,between_2_and_5_years
10225,verification_timeline,already,between_2_and_5_years
10226,verification_timeline,between_2_and_5_years,already
10233,verification_timeline,longer_than_5_years,between_2_and_5_years
10235,verification_timeline,between_2_and_5_years,already
10237,verification_timeline,between_2_and_5_years,already
10240,verification_timeline,longer_than_5_years,within_2_years
10243,verification_timeline,longer_than_5_years,between_2_and_5_years
10251,verification_timeline,between_2_and_5_years,already
10252,verification_timeline,longer_than_5_years,already
10253,verification_timeline,longer_than_5_years,already
10254,verification_timeline,already,between_2_and_5_years
10255,verification_timeline,longer_than_5_years,already
10259,verification_timeline,between_2_and_5_years,longer_than_5_years
10260,verification_timeline,already,between_2_and_5_years
10261,verification_timeline,longer_than_5_years,already
10264,verification_timeline,already,between_2_and_5_years
10268,verification_timeline,already,between_2_and_5_years
10273,verification_timeline,longer_than_5_years,within_2_years
10275,verification_timeline,longer_than_5_years,already
10278,verification_timeline,already,between_2_and_5_years
10283,verification_timeline,already,between_2_and_5_years
10285,verification_timeline,already,between_2_and_5_years
10287,verification_timeline,already,between_2_and_5_years
10288,verification_timeline,longer_than_5_years,between_2_and_5_years
10290,verification_timeline,between_2_and_5_years,already
10291,verification_timeline,longer_than_5_years,already
10292,verification_timeline,longer_than_5_years,already
10293,verification_timeline,longer_than_5_years,already
10295,verification_timeline,longer_than_5_years,between_2_and_5_years
10299,verification_timeline,already,between_2_and_5_years
10300,verification_timeline,already,between_2_and_5_years
10302,verification_timeline,already,between_2_and_5_years
10303,verification_timeline,already,between_2_and_5_years
10304,verification_timeline,already,between_2_and_5_years
10305,verification_timeline,already,N/A
10307,verification_timeline,already,between_2_and_5_years
10310,verification_timeline,already,between_2_and_5_years
10319,verification_timeline,longer_than_5_years,between_2_and_5_years
10321,verification_timeline,already,between_2_and_5_years
10322,verification_timeline,already,between_2_and_5_years
10325,verification_timeline,already,longer_than_5_years
10327,verification_timeline,already,between_2_and_5_years
10331,verification_timeline,already,between_2_and_5_years
10335,verification_timeline,already,between_2_and_5_years
10337,verification_timeline,between_2_and_5_years,already
10340,verification_timeline,already,between_2_and_5_years
10343,verification_timeline,already,longer_than_5_years
10344,verification_timeline,within_2_years,already
10346,verification_timeline,within_2_years,between_2_and_5_years
10356,verification_timeline,between_2_and_5_years,N/A
10357,verification_timeline,already,between_2_and_5_years
10365,verification_timeline,already,between_2_and_5_years
10368,verification_timeline,between_2_and_5_years,within_2_years
10372,verification_timeline,already,between_2_and_5_years
10376,verification_timeline,already,between_2_and_5_years
10379,verification_timeline,already,between_2_and_5_years
10382,verification_timeline,longer_than_5_years,between_2_and_5_years
10384,verification_timeline,between_2_and_5_years,already
10385,verification_timeline,between_2_and_5_years,already
10386,verification_timeline,between_2_and_5_years,already
10390,verification_timeline,already,between_2_and_5_years
10392,verification_timeline,already,between_2_and_5_years
10394,verification_timeline,longer_than_5_years,within_2_years
10395,verification_timeline,already,between_2_and_5_years
10396,verification_timeline,longer_than_5_years,already
10400,verification_timeline,longer_than_5_years,between_2_and_5_years
10403,verification_timeline,already,between_2_and_5_years
10405,verification_timeline,longer_than_5_years,between_2_and_5_years
10411,verification_timeline,already,between_2_and_5_years
10416,verification_timeline,between_2_and_5_years,already
10417,verification_timeline,between_2_and_5_years,already
10418,verification_timeline,longer_than_5_years,between_2_and_5_years
10419,verification_timeline,longer_than_5_years,between_2_and_5_years
10422,verification_timeline,between_2_and_5_years,already
10426,verification_timeline,already,between_2_and_5_years
10431,verification_timeline,longer_than_5_years,between_2_and_5_years
10432,verification_timeline,already,N/A
10433,verification_timeline,already,between_2_and_5_years
10434,verification_timeline,already,longer_than_5_years
10435,verification_timeline,between_2_and_5_years,already
10437,verification_timeline,already,between_2_and_5_years
10440,verification_timeline,already,between_2_and_5_years
10441,verification_timeline,longer_than_5_years,between_2_and_5_years
10442,verification_timeline,already,between_2_and_5_years
10447,verification_timeline,already,within_2_years
10449,verification_timeline,already,between_2_and_5_years
10451,verification_timeline,between_2_and_5_years,within_2_years
10457,verification_timeline,already,between_2_and_5_years
10459,verification_timeline,longer_than_5_years,within_2_years
10460,verification_timeline,already,between_2_and_5_years
10461,verification_timeline,already,between_2_and_5_years
10462,verification_timeline,longer_than_5_years,between_2_and_5_years
10466,verification_timeline,already,between_2_and_5_years
10467,verification_timeline,already,between_2_and_5_years
10468,verification_timeline,already,between_2_and_5_years
10470,verification_timeline,between_2_and_5_years,already
10472,verification_timeline,already,between_2_and_5_years
10474,verification_timeline,longer_than_5_years,already
10475,verification_timeline,longer_than_5_years,between_2_and_5_years
10476,verification_timeline,already,between_2_and_5_years
10485,verification_timeline,between_2_and_5_years,already
10486,verification_timeline,longer_than_5_years,between_2_and_5_years
10491,verification_timeline,longer_than_5_years,between_2_and_5_years
10492,verification_timeline,already,between_2_and_5_years
10495,verification_timeline,already,longer_than_5_years
10498,verification_timeline,longer_than_5_years,between_2_and_5_years
10500,verification_timeline,already,between_2_and_5_years
10508,verification_timeline,longer_than_5_years,between_2_and_5_years
10511,verification_timeline,already,between_2_and_5_years
10512,verification_timeline,between_2_and_5_years,already
10516,verification_timeline,longer_than_5_years,already
10518,verification_timeline,already,between_2_and_5_years
10519,verification_timeline,longer_than_5_years,already
10521,verification_timeline,between_2_and_5_years,already
10522,verification_timeline,between_2_and_5_years,already
10524,verification_timeline,longer_than_5_years,between_2_and_5_years
10526,verification_timeline,within_2_years,between_2_and_5_years
10528,verification_timeline,already,between_2_and_5_years
10529,verification_timeline,longer_than_5_years,N/A
10531,verification_timeline,between_2_and_5_years,already
10532,verification_timeline,already,between_2_and_5_years
10533,verification_timeline,already,between_2_and_5_years
10535,verification_timeline,longer_than_5_years,already
10540,verification_timeline,longer_than_5_years,between_2_and_5_years
10543,verification_timeline,already,between_2_and_5_years
10544,verification_timeline,already,longer_than_5_years
10545,verification_timeline,between_2_and_5_years,already
10546,verification_timeline,between_2_and_5_years,already
10550,verification_timeline,between_2_and_5_years,already
10551,verification_timeline,between_2_and_5_years,already
10553,verification_timeline,between_2_and_5_years,already
10559,verification_timeline,already,between_2_and_5_years
10560,verification_timeline,longer_than_5_years,between_2_and_5_years
10561,verification_timeline,longer_than_5_years,already
10564,verification_timeline,longer_than_5_years,between_2_and_5_years
10565,verification_timeline,already,between_2_and_5_years
10566,verification_timeline,between_2_and_5_years,already
10580,verification_timeline,already,between_2_and_5_years
10581,verification_timeline,already,between_2_and_5_years
10583,verification_timeline,within_2_years,between_2_and_5_years
10586,verification_timeline,already,within_2_years
10587,verification_timeline,already,between_2_and_5_years
10588,verification_timeline,between_2_and_5_years,longer_than_5_years
10593,verification_timeline,longer_than_5_years,between_2_and_5_years
10596,verification_timeline,already,between_2_and_5_years
10598,verification_timeline,already,between_2_and_5_years
10601,verification_timeline,already,between_2_and_5_years
10607,verification_timeline,already,between_2_and_5_years
10608,verification_timeline,longer_than_5_years,between_2_and_5_years
10615,verification_timeline,already,between_2_and_5_years
10616,verification_timeline,already,between_2_and_5_years
10618,verification_timeline,already,between_2_and_5_years
10622,verification_timeline,already,between_2_and_5_years
10627,verification_timeline,already,between_2_and_5_years
10629,verification_timeline,between_2_and_5_years,already
10630,verification_timeline,already,between_2_and_5_years
10631,verification_timeline,already,between_2_and_5_years
10635,verification_timeline,longer_than_5_years,between_2_and_5_years
10636,verification_timeline,between_2_and_5_years,already
10638,verification_timeline,between_2_and_5_years,already
10643,verification_timeline,already,between_2_and_5_years
10645,verification_timeline,already,between_2_and_5_years
10647,verification_timeline,already,between_2_and_5_years
10648,verification_timeline,already,between_2_and_5_years
10650,verification_timeline,longer_than_5_years,within_2_years
