id,data,esg_type,promise_status,promise_string,verification_timeline,evidence_status,evidence_string,evidence_quality
10011,為提升水資源之使用效率，公司妥善利用水資源，並採取可行的污染防治和控制技術。水資源節約亦是能資源節約計畫的一環，以加強水資源的利用效率為目標，定期針對節水績效加以檢討並持續改善。目前和碩各營運中心及廠區主要用水來源皆為自來水，近年來積極推動相關節水活動，各營運中心及廠區皆擬訂並實施節約用水之管控措施，如華東營運中心加強了水龍頭省水設計與在生產考量情況下調整廠區衛生間沖水時間，用水量也隨之下降。而水污染防治亦從節約用水做起，和碩各營運中心及廠區除擬訂並實施節約用水之管控措施外，亦在各類耗水設備運作中，積極尋求水資源回收的可行性。,E,Yes,公司妥善利用水資源，並採取可行的污染防治和控制技術。,already,Yes,公司妥善利用水資源，並採取可行的污染防治和控制技術。水資源節約亦是能資源節約計畫的一環，以加強水資源的利用效率為目標，定期針對節水績效加以檢討並持續改善。目前和碩各營運中心及廠區主要用水來源皆為自來水，近年來積極推動相關節水活動，各營運中心及廠區皆擬訂並實施節約用水之管控措施，如華東營運中心加強了水龍頭省水設計與在生產考量情況下調整廠區衛生間沖水時間，用水量也隨之下降。而水污染防治亦從節約用水做起，和碩各營運中心及廠區除擬訂並實施節約用水之管控措施外，亦在各類耗水設備運作中，積極尋求水資源回收的可行性。,Clear
10012,萬海要求所有供應商遵守雙方企業社會責任政策內容，並積極與供應商合作投入供應鏈永續管理，確保安全的工作環境、有尊嚴的勞工關係、誠信經營及促進環境保護。在 2024 年的隨機抽查中，共評鑑 325 家供應商，雖有零星個案發生品質或效率不佳之問題，但廠商均已於要求期限內完成改善，最終所有抽查之供應商皆通過評鑑。萬海將持續落實現行標準，並依循法規與國際公約的變化調整管理措施，推動所有新舊供應商簽署承諾書及永續評鑑表，以深化供應鏈的永續發展。,G;S,Yes,萬海要求所有供應商遵守雙方企業社會責任政策內容，並積極與供應商合作投入供應鏈永續管理，確保安全的工作環境、有尊嚴的勞工關係、誠信經營及促進環境保護。,already,Yes,在 2024 年的隨即抽查中，共評鑑 325 家供應商，雖有零星個案發生品質或效率不佳之問題，但廠商均已於要求期限內完成改善，最終所有抽查之供應商皆通過評鑑。萬海將持續落實現行標準，並依循法規與國際公約的變化調整管理措施，推動所有新舊供應商簽署承諾書及永續評鑑表，以深化供應鏈的永續發展。,Clear
10013,我們總結世芯電子 2024 年永續報告書內容，對於世芯電子之相關運作與績效則提供了一個公平的觀點。基於保證範圍限制事項，世芯電子所提供資訊數據以及經檢視之測試，此報告書並無重大之不實陳述；而報告書中有關水與放流水主題之具體管理方針及績效指標內容則為實質正確之呈現。報告書所揭露之永續績效資訊展現了世芯電子識別利害關係人的努力。,G,Yes,報告書所揭露之永續績效資訊展現了世芯電子識別利害關係人的努力。,already,Yes,我們總結世芯電子 2024 年永續報告書內容，對於世芯電子之相關運作與績效則提供了一個公平的觀點。基於保證範圍限制事項，世芯電子所提供資訊數據以及經檢視之測試，此報告書並無重大之不實陳述；而報告書中有關水與放流水主題之具體管理方針及績效指標內容則為實質正確之呈現。,Clear
10014,台達透過產品再設計、低碳材料議合及材料循環利用等措施，積極推動供應鏈範疇三的減碳行動，並依據以下流程，集團在各事業單位內逐步實施年度減碳對策。以 2021 年作為減碳目標的基準年，並依照集團的 SBT 目標，預計至 2030 年，範疇三碳排放將降低 25%。,E,Yes,預計至 2030 年，範疇三碳排放將降低 25%。,between_2_and_5_years,Yes,台達透過產品再設計、低碳材料議合及材料循環利用等措施，積極推動供應鏈範疇三的減碳行動，並依據以下流程，集團在各事業單位內逐步實施年度減碳對策。以 2021 年作為減碳目標的基準年，,Clear
10015,透過創新科技解決城市治理與產業的痛點，並減緩社會問題，是遠傳在數位轉型的發展重點。遠傳在數位轉型升級的道路上，致力透過「大、人、物」(大數據、人工智慧、物聯網) 核心資通訊職能，深耕智慧城市、智慧製造、數位轉型、低碳營運、消費者應用、智慧醫療等關鍵技術領域，並攜手客戶、供應商等七大利害關係人，齊力邁向企業、社會、環境三贏的目標。遠傳發揮企業影響力，透過 5G 及雲端技術、大數據分析、IoT 等應用，運用在遠距診療服務、智慧路燈、智慧城市、智慧停車、空氣品質監控、大數據人潮解析等，協助政府機關解決交通、空氣品質等問題。,S,Yes,透過創新科技解決城市治理與產業的痛點，並減緩社會問題，是遠傳在數位轉型的發展重點。,between_2_and_5_years,Yes,遠傳在數位轉型升級的道路上，致力透過「大、人、物」(大數據、人工智慧、物聯網) 核心資通訊職能，深耕智慧城市、智慧製造、數位轉型、低碳營運、消費者應用、智慧醫療等關鍵技術領域，並攜手客戶、供應商等七大利害關係人，齊力邁向企業、社會、環境三贏的目標。,Clear
10016,廣達亦不定期進行小規模員工敬業度調查，2024年台灣廠區調查顯示，有80%員工願意在相同條件下繼續留任，其中女性員工投入度更達86%。為進一步了解績優員工的職場體驗，針對高績效同仁實施不記名投入度評估，結果顯示在成長機會與工作期待方面得分高，但在被肯定與讚賞的感受相對較低。對此，公司為主官規劃相關回饋訓練課程，透過情境模擬協助主管提升正向回饋能力。,S,Yes,透過情境模擬協助主管提升正向回饋能力。,within_2_years,Yes,為進一步了解績優員工的職場體驗，針對高績效同仁實施不記名投入度評估，結果顯示在成長機會與工作期待方面得分高，但在被肯定與讚賞的感受相對較低。對此，公司為主官規劃相關回饋訓練課程，,Clear
10017,統一企業致力於穩健經營，確保公司財務穩定與持續成長，並兼顧股東權益、員工發展與社會責任。我們透過創新產品與服務、多元化營運布局及強化供應鏈韌性，提升企業競爭力，並承諾遵循財務與稅務法規，維持高標準的財務透明度與公司治理。,G,Yes,統一企業致力於穩健經營，確保公司財務穩定與持續成長，並兼顧股東權益、員工發展與社會責任。,between_2_and_5_years,No,,N/A
10018,"供應鏈是日月光投控成為一家具有影響力公司的重要夥伴，積極與供應商共同規劃與推動五大低碳管理方針，涵蓋低碳選商永續策略、完善供應鏈碳資訊、推動材料與機台低碳轉型、導入上游低碳運輸與建立低碳供應鏈等，並透過日月光環保永續基金會舉辦低碳節能永續獎，攜手供應商夥伴一同實現 2050 年淨零排放承諾。  更進一步，日月光在行之有年的供應商評比中，除了品質與交期的評核外，首度納入 10% 的永續績效，同時日月光投控與供應商組成低碳供應聯盟，正式啟動低碳機台設備專案，攜手 19 家關鍵機台供應商合作推動機台節能設計以達成 2030 年節能 20% 的階段性目標。日月光投控也深知減碳議題牽涉複雜的層面，要推動實質的改變，不能只靠永續或採購部門的努力。我們展開跨部門合作，多方面影響供應商進行減碳，使行動從企業內部擴展到整個生態圈。同時，提供多元培力資源，包括開設供應鏈永續課程、建立線上學習平台，已有近 2,000 位夥伴參與，共同倡議永續知識與行動的共享平台。",E,Yes,積極與供應商共同規劃與推動五大低碳管理方針，涵蓋低碳選商永續策略、完善供應鏈碳資訊、推動材料與機台低碳轉型、導入上游低碳運輸與建立低碳供應鏈等，並透過日月光環保永續基金會舉辦低碳節能永續獎，攜手供應商夥伴一同實現 2050 年淨零排放承諾。,between_2_and_5_years,Yes,更進一步，日月光在行之有年的供應商評比中，除了品質與交期的評核外，首度納入 10% 的永續績效，同時日月光投控與供應商組成低碳供應聯盟，正式啟動低碳機台設備專案，攜手 19 家關鍵機台供應商合作推動機台節能設計以達成 2030 年節能 20% 的階段性目標。,Clear
10019,第二線個資保護專責單位負責督導、協調、監控個人資料保護相關事宜，應至少每年一次向董事會報告，如發現有重大違反個人資料保護相關法令之事件時，應即時向董事會報告。,G,Yes,第二線個資保護專責單位負責督導、協調、監控個人資料保護相關事宜，應至少每年一次向董事會報告，如發現有重大違反個人資料保護相關法令之事件時，應即時向董事會報告。,already,No,,N/A
10020,鴻海堅持長期永續發展的承諾，明確訂定ESG目標，推動並落實行動策略，積極因應外部日益加劇的永續風險與機遇。我們聚焦於綠色智能、循環經濟、幸福發展、共贏共榮、鴻傳永續、海納治理六大核心策略，持續深化ESG數位智能管理平台與治理基礎，系統推進行動方案，實踐責任經營，創造永續價值。《行為準則》是鴻海規範全球廠區與員工商業行為的核心依據，也是處理與各類利益相關方關係的基本準則。如當地法律與本準則有所差異或衝突，我們將依法從事，同時遵循更高標準，以確保經營行為符合法律、道德與專業規範，保障公司資產、權益與品牌聲譽。,G,Yes,鴻海堅持長期永續發展的承諾，明確訂定ESG目標，推動並落實行動策略，積極因應外部日益加劇的永續風險與機遇。,between_2_and_5_years,Yes,我們聚焦於綠色智能、循環經濟、幸福發展、共贏共榮、鴻傳永續、海納治理六大核心策略，持續深化ESG數位智能管理平台與治理基礎，系統推進行動方案，實踐責任經營，創造永續價值。,Clear
10021,自 2005 年起陸續展開溫室氣體盤查作業，並通過第三方 ISO 14064 查證，以追蹤各營運據點之溫室氣體排放情況，持續積極尋求各項減碳與低碳方案。同時逐步導入子公司盤查作業。2024 年溫室氣體相較前一年度下降 3.2%，並首次進行內部盤查子公司溫室氣體作業。,E,Yes,持續積極尋求各項減碳與低碳方案。,already,Yes,自 2005 年起陸續展開溫室氣體盤查作業，並通過第三方 ISO 14064 查證，以追蹤各營運據點之溫室氣體排放情況，同時逐步導入子公司盤查作業。2024 年溫室氣體相較前一年度下降 3.2%，並首次進行內部盤查子公司溫室氣體作業。,Clear
10022,玉山金控除了面對氣候環境風險外，也積極尋找轉型的契機，在氣候相關的機會面向涵蓋了：資源使用效率、產品和服務、市場拓展及營運韌性等多個方面。金融業身為市場力量的重要推手，須發揮正面的影響力，建立永續金融生態圈的正向循環。我們積極協力政府與企業共同推動淨零轉型，致力於引導民間資金流向對環境及社會有益之經濟活動，推動永續相關基礎建設及低碳產業、技術的發展，協助顧客淨零轉型，強化因應 ESG 相關風險的韌性，確保面對未來挑戰的發展潛力。,,Yes,致力於引導民間資金流向對環境及社會有益之經濟活動，推動永續相關基礎建設及低碳產業、技術的發展，協助顧客淨零轉型，,between_2_and_5_years,Yes,金融業身為市場力量的重要推手，須發揮正面的影響力，建立永續金融生態圈的正向循環。我們積極協力政府與企業共同推動淨零轉型，強化因應 ESG 相關風險的韌性，確保面對未來挑戰的發展潛力。,Clear
10023,台泥致力打造安全工作環境，訂有《職業安全衛生管理相關內部控制政策》，適用於員工、派駐外包工作者及承攬商，實現零工傷願景。現行安全管理規章包含《職業安全衛生管理規章》、《職業安全衛生管理計畫》及《職業安全衛生作守則》等，並以行為導向管理推動職安文化。CIMPOR與OYAK CEMENT也於綜合管理系統政策(Integrated Management System Policy)中強調對員工職業安全衛生管理的重視。,S,Yes,台泥致力打造安全工作環境，訂有《職業安全衛生管理相關內部控制政策》，適用於員工、派駐外包工作者及承攬商，實現零工傷願景。,between_2_and_5_years,Yes,現行安全管理規章包含《職業安全衛生管理規章》、《職業安全衛生管理計畫》及《職業安全衛生作守則》等，並以行為導向管理推動職安文化。CIMPOR與OYAK CEMENT也於綜合管理系統政策(Integrated Management System Policy)中強調對員工職業安全衛生管理的重視。,Clear
10024,為使人才發展架構能夠有效執行，我們透過PDCA調整，不斷優化人才發展架構。以下為執行與評估說明：    **規劃Plan**  **需求分析**  ● 透過績效考核、員工調查、主管訪談等方式，瞭解員工的發展需求  ● 結合企業的全球策略佈局，預測未來的人才需求  **計劃設計**  ● 依據需求分析結果，設計客製化的培訓課程、數位學習資源、專案歷練計畫  ● 明確各項發展活動的目標、內容、時間、地點、參與對象    **執行Do**  **資源投入**  ● 投入足夠的預算、人力、時間，確保各項發展活動順利進行  ● 建立完善的數位學習平臺，提供豐富的線上資源  **執行與追蹤**  ● 定期追蹤各項發展活動的進度與成效  ● 蒐集員工的回饋意見，持續優化發展計畫    **檢查Check**  **學習成效評估**  ● 透過測驗、作業、專案報告等方式，評估員工的學習成果  ● 追蹤員工在工作中的行為改變與績效提升  **發展活動滿意度評估**  ● 透過問卷調查、訪談等方式蒐集員工意見，瞭解員工對各項發展活動的滿意度    **行動Act**  ● 根據學習成效與滿意度評估，持續調整與優化人才發展計劃,S,Yes,持續調整與優化人才發展計劃,between_2_and_5_years,Yes,透過績效考核、員工調查、主管訪談等方式，瞭解員工的發展需求  ● 結合企業的全球策略佈局，預測未來的人才需求  ● 依據需求分析結果，設計客製化的培訓課程、數位學習資源、專案歷練計畫  ● 明確各項發展活動的目標、內容、時間、地點、參與對象,Clear
10025,為避免因作業、活動或服務及設施等危害，造成同仁安全健康或公司財務損失，藉由建構 ISO 45001 安全衛生管理系統，持續推動安全衛生危害鑑別、風險機會評估，並採取適當預防措施或執行必要之控制方法，將風險控制在可接受的程度之下。,S,Yes,藉由建構 ISO 45001 安全衛生管理系統，持續推動安全衛生危害鑑別、風險機會評估，並採取適當預防措施或執行必要之控制方法，將風險控制在可接受的程度之下。,between_2_and_5_years,No,,N/A
10026,為維護企業整體資訊安全，強化各項資訊資產安全管理，確保其機密性、完整性及可用性，以維持本公司的永續經營，本公司已訂定及公布《資訊安全管理政策》並公布於官網，其政策適用於本公司各項資訊作業、資訊資產及資訊使用者，含員工、臨時雇員、訪客與本公司有業務往來廠商（含員工、臨時雇員等）於維護、保管、使用、管理本公司資訊資產時，皆應遵守本政策。,G,Yes,本公司已訂定及公布《資訊安全管理政策》並公布於官網，,already,Yes,其政策適用於本公司各項資訊作業、資訊資產及資訊使用者，含員工、臨時雇員、訪客與本公司有業務往來廠商（含員工、臨時雇員等）於維護、保管、使用、管理本公司資訊資產時，皆應遵守本政策。,Clear
10027,"其中，廣達上海製造城 QSMC 包含達豐(上海)電腦有限公司、達功(上海)電腦有限公司、達利(上海)電腦有限公司、達人(上海)電腦有限公司、達群(上海)電腦有限公司及達偉(上海)物流倉儲有限公司；廣達重慶製造城 QCMC 則包含達豐(重慶)電腦有限公司、達功(重慶)電腦有限公司、達偉(重慶)物流有限公司及雲達(重慶)科技有限公司。截至2024年底，廣達集團全球員工總數為64,935人，涵蓋臺灣的QRDC總部及全球各主要製造據點。同時組織外邊界則涵蓋供應鏈管理及當地社區等。廣達將定期於8月31日前發佈《廣達集團永續報告書》，本報告為連續第十五年發行，年度永續報告書揭露期間為2024年1月1日至2024年12月31日。另本報告亦涵蓋部分短期、中期及長期推動之專案內容。",G,Yes,廣達將定期於8月31日前發佈《廣達集團永續報告書》，本報告為連續第十五年發行，年度永續報告書揭露期間為2024年1月1日至2024年12月31日。另本報告亦涵蓋部分短期、中期及長期推動之專案內容。,already,No,,N/A
10028,開發多種選擇的重大傷病卡商品，包括提供臺、外幣滿期給付的重大傷病卡養老險「富邦人壽金卡安重大傷病保險」、「富邦人壽美好醫卡外幣重大傷病保險」，與兼具壽險與重大傷病卡保障的終身險「富邦人壽醫保安重大傷病終身健康保險」。除重大傷病保障外，另將七項重大疾病中的「急性心肌梗塞」及「冠狀動脈繞道手術」納入給付以完整保障範圍，並針對燒燙傷 / 重大創傷 / 脊髓損傷或病變增加 20% 給付，與同業商品差異化，另提供外溢 ( 健康檢查或疫苗接種 ) 保費折扣，透過外溢機制鼓勵保戶持續健康管理。,S,Yes,透過外溢機制鼓勵保戶持續健康管理。,between_2_and_5_years,Yes,除重大傷病保障外，另將七項重大疾病中的「急性心肌梗塞」及「冠狀動脈繞道手術」納入給付以完整保障範圍，並針對燒燙傷 / 重大創傷 / 脊髓損傷或病變增加 20% 給付，與同業商品差異化，另提供外溢 ( 健康檢查或疫苗接種 ) 保費折扣，,Clear
10029,本報告書依循全球永續性標準理事會（GSSB）所發布之最新版 GRI 準則（GRI Universal Standards 2021）進行編撰，同時參考臺灣證券交易所發布之「上市公司編製與申報永續報告書作業辦法」及相關國際準則倡議等編製與揭露本報告書。,G,No,,N/A,No,,N/A
10030,台光電子為善盡企業社會責任，落實永續經營理念，董事會通過「企業社會責任實務守則」，2024 年 10 月經董事會通過將「企業永續發展委員會」提升為直屬董事會的功能性委員會，並同步制訂「企業永續發展委員會組織規程」，規範企業永續發展委員會之設置目的、委員組成、職權等相關事項。「企業永續發展委員會」由董事長擔任主任委員，下轄公司治理/經濟組、供應鏈/綠色產品組、員工照顧/社會參與組、永續環境組等小組，由相關單位部門主管或其派代表所組成。負責議題資料蒐集、規劃、評估及執行。本報告書相關資訊由各部門進行收集並由部門主管覆核後，送交企業永續發展委員會進行資訊彙整、編製及內部稽核工作，完成之報告書經送董事會核定後發佈。,G,Yes,董事會通過「企業社會責任實務守則」，2024 年 10 月經董事會通過將「企業永續發展委員會」提升為直屬董事會的功能性委員會，,already,Yes,並同步制訂「企業永續發展委員會組織規程」，規範企業永續發展委員會之設置目的、委員組成、職權等相關事項。「企業永續發展委員會」由董事長擔任主任委員，下轄公司治理/經濟組、供應鏈/綠色產品組、員工照顧/社會參與組、永續環境組等小組，由相關單位部門主管或其派代表所組成。負責議題資料蒐集、規劃、評估及執行。本報告書相關資訊由各部門進行收集並由部門主管覆核後，送交企業永續發展委員會進行資訊彙整、編製及內部稽核工作，完成之報告書經送董事會核定後發佈。,Clear
10031,近年全球暖化造成各地環境災害，國巨股份有限公司了解溫室氣體的排放將對環境造成傷害，基於關心生活，貢獻社會的精神，完成系統化的溫室氣體排放盤查與清冊建置，並制定內部文件化及查證程序等。期盼能達成能源節約、工業減廢、資源回收與再利用目標，共同為國內產業未來朝向低碳型經濟社會來努力。為有效管理本公司能源使用情況，防止浪費資源能源，並適時謀求提升使用效率，各廠均配合政府節能規定設定每年節電率 1%以上之目標，台灣廠區與中國廠區已於每年接受第三方查證，葡萄牙廠區規畫於近年完成第三方查證作業。,E,Yes,完成系統化的溫室氣體排放盤查與清冊建置，並制定內部文件化及查證程序等。,between_2_and_5_years,Yes,各廠均配合政府節能規定設定每年節電率 1%以上之目標，台灣廠區與中國廠區已於每年接受第三方查證，葡萄牙廠區規畫於近年完成第三方查證作業。,Clear
10032,"2024 年度，瑞昱半導體與瑞昱職工福利委員會提撥超過新台幣 1 億 1,390 萬元之經費支持同仁福利事項及相關活動之運作。瑞昱期許在公司持續保有創新競爭力與永續營運成果的歷程中，全體同仁能不斷感受、並享有用心良善與持續規劃設計的福利政策及環境。",S,Yes,瑞昱期許在公司持續保有創新競爭力與永續營運成果的歷程中，全體同仁能不斷感受、並享有用心良善與持續規劃設計的福利政策及環境。,already,Yes,"2024 年度，瑞昱半導體與瑞昱職工福利委員會提撥超過新台幣 1 億 1,390 萬元之經費支持同仁福利事項及相關活動之運作。",Clear
10033,為瞭解實體風險對本行據點資產之風險衝擊，針對本行各營運據點進行實體風險評估分析。本行以實體風險危害度 1~3 級 (24 小時內極端降雨頻率)、脆弱度 1~10 級 (淹水潛勢、坡地災害) 及暴露度 1~10 級 (暴險金額) 繪製風險敏感地圖，分別採用 RCP 8.5 及 RCP 2.6 作為風險衝擊之假設情境，進行本行據點資產在世紀中 (2036~2065) 的暴險分析，並提出對應之氣候風險管理策略。,E,Yes,提出對應之氣候風險管理策略。,longer_than_5_years,Yes,針對本行各營運據點進行實體風險評估分析。本行以實體風險危害度 1~3 級 (24 小時內極端降雨頻率)、脆弱度 1~10 級 (淹水潛勢、坡地災害) 及暴露度 1~10 級 (暴險金額) 繪製風險敏感地圖，分別採用 RCP 8.5 及 RCP 2.6 作為風險衝擊之假設情境，進行本行據點資產在世紀中 (2036~2065) 的暴險分析，,Clear
